1648400448039,1142,HomePage,200,OK,Thread Group 1-1,text,true,,81235,290,1,1,https://sites.google.com/diu.edu.bd/md-mehedi9021,347,0,60
1648400448039,347,HomePage-0,301,Moved Permanently,Thread Group 1-1,text,true,,741,145,1,1,http://sites.google.com/diu.edu.bd/md-mehedi9021,347,0,60
1648400448388,793,HomePage-1,200,OK,Thread Group 1-1,text,true,,80494,145,1,1,https://sites.google.com/diu.edu.bd/md-mehedi9021,600,0,219
1648400449182,928,EducationPage,200,OK,Thread Group 1-1,text,true,,85082,332,1,1,https://sites.google.com/diu.edu.bd/md-mehedi9021/education?authuser=0,285,0,0
1648400449182,285,EducationPage-0,301,Moved Permanently,Thread Group 1-1,text,true,,762,166,1,1,http://sites.google.com/diu.edu.bd/md-mehedi9021/education?authuser=0,285,0,0
1648400449468,642,EducationPage-1,200,OK,Thread Group 1-1,text,true,,84320,166,1,1,https://sites.google.com/diu.edu.bd/md-mehedi9021/education?authuser=0,515,0,0
1648400450112,752,ProjectsPage,200,OK,Thread Group 1-1,text,true,,95476,330,1,1,https://sites.google.com/diu.edu.bd/md-mehedi9021/projects?authuser=0,276,0,0
1648400450112,276,ProjectsPage-0,301,Moved Permanently,Thread Group 1-1,text,true,,761,165,1,1,http://sites.google.com/diu.edu.bd/md-mehedi9021/projects?authuser=0,276,0,0
1648400450389,475,ProjectsPage-1,200,OK,Thread Group 1-1,text,true,,94715,165,1,1,https://sites.google.com/diu.edu.bd/md-mehedi9021/projects?authuser=0,316,0,0
1648400450865,759,ResearchPage,200,OK,Thread Group 1-1,text,true,,99194,330,1,1,https://sites.google.com/diu.edu.bd/md-mehedi9021/research?authuser=0,283,0,0
1648400450865,283,ResearchPage-0,301,Moved Permanently,Thread Group 1-1,text,true,,761,165,1,1,http://sites.google.com/diu.edu.bd/md-mehedi9021/research?authuser=0,283,0,0
1648400451148,476,ResearchPage-1,200,OK,Thread Group 1-1,text,true,,98433,165,1,1,https://sites.google.com/diu.edu.bd/md-mehedi9021/research?authuser=0,309,0,0
